,0,1
0,process_wavs/43.wav,play as a retired law enforcement officer in Georgia and his also tested positive for Coronavirus
1,process_wavs/253.wav,even comedians are talkin about it
2,process_wavs/61.wav,I wanted to be sure this
3,process_wavs/179.wav,what do you recommend people do to in Hanson and bolster up their own immune system
4,process_wavs/202.wav,she was modeled after doctor shook it
5,process_wavs/180.wav,this is simply not true
6,process_wavs/118.wav,symptoms can include a cough sore throat headache and a fever that lasts a few days
7,process_wavs/37.wav,we still don't have enough evidence that these drugs are effective in humans
8,process_wavs/302.wav,course there's no way to know where Tom Hanks actually contracted the infection
9,process_wavs/32.wav,as the coronavirus spiraled into a Public Health crisis in China a fringe Theory started to take hold on the internet
10,process_wavs/212.wav,how healthy you are
11,process_wavs/116.wav,we do see cases of flu decrease as the weather gets warmer
12,process_wavs/151.wav,it's a pattern that has been repeated in history
13,process_wavs/204.wav,the current fatality rate globally according to the who is around 3 to 4%
14,process_wavs/87.wav,first let's talk about how our government officials are describing a drug called chloroquine
15,process_wavs/177.wav,well that is obviously very hopeful because you're right David there's a lot of anxiety
16,process_wavs/232.wav,in the spirit of optimism do you see the light at the end of the tunnel as has been described you have a timetable that you think this is going to take
17,process_wavs/198.wav,the President also tweeted over the weekend that are related drug
18,process_wavs/71.wav,what is it been like for you you were in quarantine for for quite some time after you left move on because of the potential exposure to the virus
19,process_wavs/211.wav,for healthy people it's not enough of a decrease it'll hardly make a dent
20,process_wavs/120.wav,that's why doctors are conducting studies in the United States China and all over the world to better understand what happens when you give these drugs to a covid-19 Shinto
21,process_wavs/245.wav,right now if somebody is concerned because they have symptoms
22,process_wavs/182.wav,the person delivering your takeout is not only concerned for their health and safety
23,process_wavs/215.wav,he consistently tested positive while in the hospital even though he was already feeling better
24,process_wavs/139.wav,I can't stress enough how vital it is that you don't use or consume anything unless specifically recommended by your doctor
25,process_wavs/205.wav,I love that
26,process_wavs/40.wav,he's now being isolated at a local hospital
27,process_wavs/229.wav,hoping to prove its Effectiveness against covid-19
28,process_wavs/35.wav,in Nigeria Health officials issued a warning about chloroquine
29,process_wavs/114.wav,and if you've tested negative at least two consecutive test taking a day apart then you're not at risk of infecting others
30,process_wavs/233.wav,most of the time for healthy people the symptoms go away on their own
31,process_wavs/23.wav,Christine spoke with billionaire hedge fund manager Bill Ackman who recently made headlines with his radical proposal to save the US economy
32,process_wavs/225.wav,he consistently tested positive while in the hospital even though he was already feeling better
33,process_wavs/156.wav,of emergency room patients for other things as they used to or is it predominantly coronavirus or not much
34,process_wavs/187.wav,cases can become even more severe than clays
35,process_wavs/56.wav,and I want to ask you some specific questions about the
36,process_wavs/107.wav,the FDA says they're not aware of any evidence saying that Ibuprofen makes coronavirus symptoms worse
37,process_wavs/86.wav,have you ever seen a response of this magnitude the National Guard now just deployed
38,process_wavs/230.wav,what David am again remarkable work proud to have you as a colleague
39,process_wavs/240.wav,and can progress to organ failure sepsis sometimes even death
40,process_wavs/52.wav,then to an intermediate host before jumping to people just like the virus that caused the 2003 SARS epidemic
41,process_wavs/173.wav,but you know there's been a lot of stories about people still not taking this very seriously
42,process_wavs/160.wav,what are the things that has happened over the last few days here in the United States as we've seen a crippling of the economy
43,process_wavs/74.wav,school closures can be a nightmare situation for some parents especially if you're also working at the same time
44,process_wavs/228.wav,I know we've already talked about the movie Contagion
45,process_wavs/101.wav,his wife is currently in critical care
46,process_wavs/192.wav,Brogan said testing out drugs that are already FDA-approved could drastically speed up the process of finding a treatment that is safe and effective for humans
47,process_wavs/266.wav,killing is korean-american and based in Los Angeles
48,process_wavs/291.wav,maybe they came in contact with somebody with the Coronavirus
49,process_wavs/48.wav,people have taken this idea to the extreme using hair dryers hot bats and UV lamps to try and disinfect themselves
50,process_wavs/159.wav,Nadia says her kids know that school is out because of the Coronavirus
51,process_wavs/298.wav,you're likely to soon hear other drug names mentioned as well
52,process_wavs/210.wav,it doesn't matter at all
53,process_wavs/149.wav,I asked my colleague young what advice did she have four people out there
54,process_wavs/22.wav,but it has not been approved as a treatment for the Coronavirus
55,process_wavs/125.wav,their ordeal was not over though
56,process_wavs/277.wav,5 days later President Trump reverse course
57,process_wavs/238.wav,getting a letter from China or any country that has coronavirus cases is not going to make you sick
58,process_wavs/161.wav,told us many of our customers cancelled their Chinese New Year bookings last minute
59,process_wavs/9.wav,now there's no definitive study on this but dr. foutch she has been dealing with viruses his entire professional life
60,process_wavs/209.wav,that was Bill Ackman the founder and CEO of Pershing Square Capital Management
61,process_wavs/282.wav,so gratitude goes a long way
62,process_wavs/51.wav,she described what happened on Instagram
63,process_wavs/97.wav,last November Melanie and John Herring set off on what was supposed to be a 6-month retirement trip through Asia
64,process_wavs/184.wav,CNN David Culver was in China as the coronavirus outbreak began late last year
65,process_wavs/39.wav,what would be your advice to help people should think about this now given your experience
66,process_wavs/41.wav,now it didn't say whether those patients had any underlying risks
67,process_wavs/0.wav,this is not her first rodeo
68,process_wavs/123.wav,a lot of people will go through something similar to John's experience
69,process_wavs/237.wav,Deepak how are you coping
70,process_wavs/216.wav,there is no credible information to back this up and the posts mostly come from unverified social media accounts
71,process_wavs/190.wav,he recently announced that the state had procured thousands of doses of chloroquine and hydroxychloroquine
72,process_wavs/136.wav,but Public Health experts say there's no way to know this for sure
73,process_wavs/259.wav,last week after time off posted a video
74,process_wavs/141.wav,as a result there's a lot of information and misinformation out there
75,process_wavs/203.wav,even on social media we're seeing the same thing
76,process_wavs/109.wav,the CDC guidelines say that if you're not showing symptoms like a cough or fever
77,process_wavs/300.wav,she is our resident explainer in Chief of all things money
78,process_wavs/137.wav,as things stand right now here in the United States and I think in many places around the world
